Id,SalePrice
1461,125851.48799232044
1462,155573.8886787727
1463,185191.8781488945
1464,184402.44590407037
1465,194460.79361570202
1466,182297.4908349062
1467,172506.0496224528
1468,174662.1221631033
1469,179490.57211176003
1470,126009.18521849808
1471,197070.5892949411
1472,97774.19487378694
1473,103428.96553617835
1474,153710.601549783
1475,125749.10082875782
1476,369984.166680431
1477,251381.9468015215
1478,303849.94241324294
1479,299255.37740209204
1480,471242.55555580236
1481,313198.70581374696
1482,210626.72319366838
1483,184229.2832835793
1484,172545.34732150254
1485,175353.9033577636
1486,199375.26836176892
1487,323995.2482047538
1488,245388.55676738292
1489,199202.23766447318
1490,216046.08804277392
1491,191657.05869849166
1492,106656.92711523359
1493,171999.61590543645
1494,293453.19780909474
1495,291231.43246611446
1496,229696.80767605652
1497,190027.26981580595
1498,160198.41944707872
1499,159790.26295257994
1500,163398.94408722577
1501,172118.64382677173
1502,159964.17372139715
1503,260628.62878595066
1504,230847.92563194095
1505,218029.32657037946
1506,186506.12363549188
1507,251575.92089709855
1508,193226.87185245854
1509,164011.38663247626
1510,149061.70427440098
1511,148840.8065524868
1512,171698.00294449498
1513,148469.33152379523
1514,154114.52338916736
1515,205577.97192882185
1516,156319.87990888103
1517,150395.52490413142
1518,138338.69281147546
1519,216606.3874610693
1520,138362.28457838
1521,141930.89270700683
1522,162560.79407769724
1523,119281.82656431265
1524,123646.46196536148
1525,128166.70563789213
1526,126566.25790338372
1527,110740.03141106853
1528,128327.74257652597
1529,143369.17739992158
1530,164374.94285942637
1531,138095.6707163888
1532,106978.41964700603
1533,145675.09940448013
1534,119901.25847707632
1535,156083.80951925617
1536,123445.30363173377
1537,92523.30072555666
1538,165875.30159501624
1539,206692.439740521
1540,127710.36398047814
1541,142916.65162425974
1542,141625.1657877602
1543,194392.56728328668
1544,90991.91829364124
1545,111955.51989684472
1546,123152.73324658177
1547,135831.57475617484
1548,131415.02735909738
1549,112244.56255031387
1550,139540.06940112892
1551,122257.70415939316
1552,145112.73387474212
1553,147665.15008321547
1554,119786.36786704676
